Date,Weekly Cases,Average Cases,Weekly Hospitalizations,Weekly Deaths,Avg Cases MI,Avg Positives Rate
2020-07-09,154.0,21.4,4.0,0.0,154.11478272274906,0.02467363607363094
2020-07-10,155.0,26.6,4.0,0.0,166.13792180041042,0.026463810312047177
2020-07-11,152.0,24.2,5.0,1.0,154.661289044461,0.02770650488655536
2020-07-12,157.0,22.0,5.0,1.0,145.37068157535919,0.028892188910531018
2020-07-13,158.0,22.0,5.0,1.0,154.661289044461,0.02982171794137528
2020-07-14,155.0,19.4,5.0,1.0,156.8473143313086,0.03003308398689352
2020-07-15,154.0,18.0,5.0,1.0,162.8588838701392,0.029269220698520497
2020-07-16,154.0,22.0,5.0,1.0,174.8820229478006,0.02863320236236906
2020-07-17,161.0,22.0,5.0,1.0,179.8005798432074,0.02763494223712018
2020-07-18,161.0,21.8,9.0,0.0,156.8473143313086,0.026740227925365977
2020-07-19,147.0,21.6,9.0,0.0,132.80103617598598,0.026361658540992938
2020-07-20,136.0,18.2,9.0,0.0,136.0800741062572,0.0260935843201139
2020-07-21,145.0,17.2,9.0,0.0,136.62658042796897,0.02646552515519618
2020-07-22,157.0,20.0,9.0,0.0,140.998631001664,0.0270783672979572
2020-07-23,147.0,17.8,9.0,0.0,149.19622582734218,0.028038791980765275
2020-07-24,144.0,18.2,9.0,0.0,160.6728585832916,0.028387255661594703
2020-07-25,143.0,23.0,12.0,0.0,150.289238470766,0.029440245706718538
2020-07-26,154.0,21.0,12.0,0.0,137.173086749681,0.030067705976567122
2020-07-27,151.0,19.6,12.0,0.0,127.3359729588672,0.03105533908563708
2020-07-28,142.0,21.8,12.0,0.0,131.7080235325622,0.03125531491421588
2020-07-29,121.0,23.4,12.0,0.0,136.0800741062572,0.031893309087755076
2020-07-30,117.0,19.4,12.0,0.0,137.7195930713928,0.03135934547226016
2020-07-31,116.0,21.0,12.0,0.0,150.28923847076598,0.03097017865904948
2020-08-01,113.0,20.8,14.0,3.0,143.1846562885117,0.029530850241390717
2020-08-02,107.0,19.6,14.0,3.0,126.78946663715533,0.0282737164862227
